date,t,GRU
2014-10-29 18:15:00,105959.0,153348.80965787277
2014-10-29 18:30:00,109158.0,118896.54409247133
2014-10-29 18:45:00,107274.0,99733.26735041487
2014-10-29 19:00:00,105236.0,84375.67894298724
2014-10-29 19:15:00,106929.0,61412.819136380014
2014-10-29 19:30:00,105925.0,45954.36070871175
2014-10-29 19:45:00,103115.0,45954.36070871175
2014-10-29 20:00:00,103460.0,45954.36070871175
2014-10-29 20:15:00,102131.0,53658.24090987147
2014-10-29 20:30:00,101908.0,65955.70159115146
2014-10-29 20:45:00,104358.0,69191.43812908632
2014-10-29 21:00:00,102936.0,72352.43587547459
2014-10-29 21:15:00,102649.0,61412.819136380014
2014-10-29 21:30:00,103425.0,45954.36070871175
2014-10-29 21:45:00,101740.0,53658.24090987147
2014-10-29 22:00:00,100822.0,65955.70159115146
2014-10-29 22:15:00,100933.0,69191.43812908632
2014-10-29 22:30:00,104032.0,72352.43587547459
2014-10-29 22:45:00,101540.0,69116.69933753973
2014-10-29 23:00:00,101026.0,65955.70159115146
2014-10-29 23:15:00,103320.0,76895.31833024604
2014-10-29 23:30:00,103599.0,92353.7767579143
2014-10-29 23:45:00,102849.0,84649.89655675458
2014-10-30 00:00:00,102670.0,89039.36336403729
2014-10-30 00:15:00,102323.0,87790.05288969434
2014-10-30 00:30:00,101020.0,86966.92325099933
2014-10-30 00:45:00,103762.0,98150.46827658781
2014-10-30 01:00:00,102404.0,102937.52703303576
2014-10-30 01:15:00,102161.0,104108.09590553337
2014-10-30 01:30:00,101533.0,104239.7789032176
2014-10-30 01:45:00,103432.0,104192.80858332204
2014-10-30 02:00:00,102135.0,104089.42773434334
2014-10-30 02:15:00,101644.0,104132.0605717222
2014-10-30 02:30:00,103688.0,104205.25718892585
2014-10-30 02:45:00,105100.0,104630.27930368648
2014-10-30 03:00:00,108662.0,105116.44865033172
2014-10-30 03:15:00,116824.0,106635.93320097757
2014-10-30 03:30:00,125673.0,110198.94568846813
2014-10-30 03:45:00,131270.0,115678.29424418297
2014-10-30 04:00:00,132393.0,122247.43400754742
2014-10-30 04:15:00,134080.0,127828.00811644038
2014-10-30 04:30:00,127622.0,131380.76980738563
2014-10-30 04:45:00,125985.0,131359.2156370412
2014-10-30 05:00:00,118170.0,129447.72095694796
2014-10-30 05:15:00,119987.0,125264.4607472829
2014-10-30 05:30:00,118275.0,121592.87586073444
2014-10-30 05:45:00,114623.0,118976.5331101761
2014-10-30 06:00:00,113879.0,116802.11570332685
2014-10-30 06:15:00,114664.0,115986.56802655003
2014-10-30 06:30:00,110223.0,115657.30049657494
2014-10-30 06:45:00,110606.0,114627.26454018756
2014-10-30 07:00:00,109818.0,113830.70053559724
2014-10-30 07:15:00,111699.0,113048.46268262295
2014-10-30 07:30:00,110260.0,112384.3491730078
2014-10-30 07:45:00,111530.0,111785.86826673461
2014-10-30 08:00:00,110543.0,111739.92065557119
2014-10-30 08:15:00,111719.0,110967.11503202708
2014-10-30 08:30:00,114152.0,110318.7526401173
2014-10-30 08:45:00,115993.0,110524.72501230688
