date,t,GRU,CNN
1970-01-21 19:15:00,107810.0,180572.4389854429,12287618215.479347
1970-01-21 19:20:00,120562.0,118536.13186009532,8257228589.181477
1970-01-21 19:25:00,110273.0,113514.03724785065,4997725197.5928755
1970-01-21 19:30:00,109229.0,112384.1669359756,1941915021.805617
1970-01-21 19:35:00,123685.0,112070.80044057088,1642011149.2308629
1970-01-21 19:40:00,128867.0,111965.64703640236,1051216521.8825992
1970-01-21 19:45:00,118297.0,111926.25139068384,887286650.8152162
1970-01-21 19:50:00,115347.0,111910.75420852978,1410583576.0521607
1970-01-21 19:55:00,120392.0,111904.54150941262,1496139519.869029
1970-01-21 20:00:00,118275.0,111902.03354418522,1365748110.8279738
1970-01-21 20:05:00,110818.0,111901.01860812232,1286429275.786406
1970-01-21 20:10:00,105265.0,111900.60751660116,1039447501.447069
1970-01-21 20:15:00,109064.0,111900.44094665858,760815372.6636453
1970-01-21 20:20:00,115329.0,111900.37342508232,1272857112.4428368
1970-01-21 20:25:00,110895.0,111900.34600647344,1504883762.7636292
1970-01-21 20:30:00,109384.0,111900.33477431945,2264232899.025153
1970-01-21 20:35:00,114443.0,111900.32995939316,2254609737.514976
1970-01-21 20:40:00,125097.0,111900.32772687104,2460337792.450755
1970-01-21 20:45:00,114085.0,111900.316683069,2252306794.714787
1970-01-21 20:50:00,114197.0,111900.62573595556,1606515683.766428
1970-01-21 20:55:00,112694.0,111889.66574190329,832463673.5860863
1970-01-21 21:00:00,114363.0,112275.43221075575,1069070928.2177136
1970-01-21 21:05:00,109112.0,86519.92281057623,1183363641.0923514
1970-01-21 21:10:00,139563.0,108919.0645583605,1888535685.3326826
1970-01-21 21:15:00,139207.0,111044.91933555398,1312707435.7568054
1970-01-21 21:20:00,129600.0,111607.33645156404,1480206701.6821456
1970-01-21 21:25:00,134439.0,111790.02511971256,1318080794.15994
1970-01-21 21:30:00,135975.0,111857.277925483,1284982364.4423926
1970-01-21 21:35:00,137935.0,111872.31594236066,1234085640.8973231
1970-01-21 21:40:00,131644.0,112268.43868327027,666356789.5767751
1970-01-21 21:45:00,124325.0,86519.16198531758,744588638.1320316
1970-01-21 21:50:00,117340.0,108918.83421900628,566190898.1446952
1970-01-21 21:55:00,126776.0,111044.83538688956,1023915740.6321819
1970-01-21 22:00:00,133458.0,111607.30501452752,1103043338.9417844
1970-01-21 22:05:00,132915.0,111790.02390600192,1191982976.1317945
1970-01-21 22:10:00,130716.0,111856.97544357736,1466720863.1909676
1970-01-21 22:15:00,134227.0,111882.9772585342,1625098940.6019824
1970-01-21 22:20:00,124103.0,111893.3340571559,1252531087.7381535
1970-01-21 22:25:00,118057.0,111897.50471183012,931924719.7835102
1970-01-21 22:30:00,123205.0,111899.188338127,977934621.0940843
1970-01-21 22:35:00,128499.0,111900.14580175708,1203262485.9005952
1970-01-21 22:40:00,123814.0,111891.33122153232,1396246251.4980094
1970-01-21 22:45:00,132313.0,112210.88341233198,1012650858.4759307
1970-01-21 22:50:00,132516.0,94256.40277715473,590886766.6037358
1970-01-21 22:55:00,126903.0,92313.29671423387,598240089.7375829
1970-01-21 23:00:00,121545.0,112121.9240840046,1185830953.106914
1970-01-21 23:05:00,118351.0,112578.05230792268,1250289374.9285545
1970-01-21 23:10:00,117181.0,124006.79992534492,1385419258.418157
1970-01-21 23:15:00,125403.0,119556.1701051727,897118648.5181481
1970-01-21 23:20:00,122269.0,122846.22529574177,927715152.7192595
1970-01-21 23:25:00,116443.0,121049.79358440728,1015931620.0663431
1970-01-21 23:30:00,119387.0,119027.51269045414,1003628489.4098439
1970-01-21 23:35:00,162224.0,122876.32510404212,855848830.751024
1970-01-21 23:40:00,127256.0,134898.59856518314,449476322.58593917
1970-01-21 23:45:00,124392.0,126133.05673421876,105340112.94051208
1970-01-21 23:50:00,113889.0,126380.6649781484,-113182883.12453231
1970-01-21 23:55:00,111485.0,119719.28385768186,-276773041.99683654
1970-01-22 00:00:00,116641.0,113958.05090552538,-8557987.500589257
1970-01-22 00:05:00,117802.0,116978.66818168758,594095981.9476824
1970-01-22 00:10:00,122016.0,116910.8758755868,721350687.7935756
1970-01-22 00:15:00,120552.0,121344.05759783472,952343734.320846
1970-01-22 00:20:00,130696.0,120204.62748420551,248367394.19523
1970-01-22 00:25:00,139216.0,126634.63458636295,495106600.8635329
1970-01-22 00:30:00,115930.0,129615.71684379216,89514448.17935443
1970-01-22 00:35:00,126806.0,120111.25967995718,-165338870.12694815
1970-01-22 00:40:00,140420.0,124572.03963467405,-737077097.9278457
1970-01-22 00:45:00,126783.0,128469.27753751504,-1148020379.6443398
1970-01-22 00:50:00,128951.0,123315.17374957856,-446284488.4651302
1970-01-22 00:55:00,130900.0,126773.98387527168,-162700660.60807043
1970-01-22 01:00:00,128880.0,126170.99264673777,438627822.17348987
1970-01-22 01:05:00,133479.0,128631.33065635715,363443491.5820076
1970-01-22 01:10:00,138132.0,129269.1420162717,336466707.77311164
1970-01-22 01:15:00,127478.0,130141.66755132176,-33362704.913780283
1970-01-22 01:20:00,131670.0,127005.3893906008,127900898.83853747
1970-01-22 01:25:00,121479.0,128842.56666143062,949710516.1994373
1970-01-22 01:30:00,121789.0,122183.07379868174,891447603.0621412
1970-01-22 01:35:00,127018.0,124323.47259848498,876808507.1458204
1970-01-22 01:40:00,116630.0,123977.93150940078,285213178.3988098
1970-01-22 01:45:00,129402.0,118756.98864383266,197605918.2115297
1970-01-22 01:50:00,124998.0,125897.23967392465,114026401.89797021
1970-01-22 01:55:00,123715.0,125025.16601159566,131290276.53229725
1970-01-22 02:00:00,122564.0,124158.3327880614,417067227.56629175
1970-01-22 02:05:00,114435.0,122810.95222114577,317761076.50287855
1970-01-22 02:10:00,110705.0,116247.78229459297,409598638.2647255
1970-01-22 02:15:00,111090.0,113530.4765870178,348742878.9008582
1970-01-22 02:20:00,110874.0,110278.4541889502,654597284.5878316
1970-01-22 02:25:00,113919.0,111939.20776285585,1138834951.2403393
1970-01-22 02:30:00,114258.0,113941.6101135421,1356005286.6767976
1970-01-22 02:35:00,121101.0,114496.13658600292,1088973866.994271
1970-01-22 02:40:00,118518.0,120725.338590041,646565915.5059329
1970-01-22 02:45:00,132343.0,118839.74186797268,-444567770.48708254
1970-01-22 02:50:00,114243.0,125655.95442203006,-503766372.8343538
1970-01-22 02:55:00,111317.0,116217.4553078012,-705319765.7089769
1970-01-22 03:00:00,127961.0,113563.9822621408,-366885991.96887445
1970-01-22 03:05:00,128302.0,124110.08859568536,-186834401.4885107
1970-01-22 03:10:00,123854.0,122490.17021004992,-237636794.4685803
1970-01-22 03:15:00,121168.0,121195.33863179915,120540.39826091581
1970-01-22 03:20:00,130180.0,121564.30449299703,120436.09256281567
1970-01-22 03:25:00,125667.0,124967.77267588758,122330.35763977602
1970-01-22 03:30:00,116533.0,124649.64119354742,121674.2705880979
1970-01-22 03:35:00,167135.0,120021.54288345852,118005.46543529943
1970-01-22 03:40:00,138588.0,135924.286875352,136403.01461320807
1970-01-22 03:45:00,145021.0,128801.3546041801,130394.35760090727
1970-01-22 03:50:00,137590.0,134359.8703562617,134203.9457139434
1970-01-22 03:55:00,141105.0,131589.6632103425,133536.10689494608
1970-01-22 04:00:00,127790.0,131191.25241835503,131881.92411996782
1970-01-22 04:05:00,137454.0,127655.52530945164,126966.5896991073
1970-01-22 04:10:00,126702.0,130568.1871908156,129802.73956592137
1970-01-22 04:15:00,129328.0,128337.77085470574,127025.10203697042
1970-01-22 04:20:00,130286.0,128125.77457806068,126406.82363340391
1970-01-22 04:25:00,128759.0,126783.37363134416,127544.66583896939
1970-01-22 04:30:00,130576.0,127939.08894571388,126497.98449777687
1970-01-22 04:35:00,125620.0,129282.42059265044,127732.00858515046
1970-01-22 04:40:00,123064.0,124547.33941719162,125414.17397832537
1970-01-22 04:45:00,130063.0,125398.72801941514,123304.39830632512
1970-01-22 04:50:00,125007.0,128138.7255164762,125429.81043853046
1970-01-22 04:55:00,114320.0,124626.313757877,123766.54951691184
1970-01-22 05:00:00,122823.0,116855.67249652137,119137.79095739494
1970-01-22 05:05:00,127675.0,125053.08995787028,122447.01239658672
1970-01-22 05:10:00,150094.0,126487.15081928938,123175.62917893259
1970-01-22 05:15:00,122681.0,134193.61096522424,130700.04866710113
1970-01-22 05:20:00,135104.0,124403.23826784828,122233.23265228419
1970-01-22 05:25:00,131704.0,134338.30437206588,128118.40692395932
1970-01-22 05:30:00,128798.0,127480.7251245973,127632.90362173542
1970-01-22 05:35:00,127375.0,127151.72228490788,126749.40645999253
1970-01-22 05:40:00,127027.0,127395.07096719948,126212.70146687742
1970-01-22 05:45:00,131224.0,127208.14519645374,124661.15377661293
1970-01-22 05:50:00,121900.0,128912.31336189968,124957.29177040776
1970-01-22 05:55:00,116292.0,123945.80174583328,121280.01728937907
1970-01-22 06:00:00,104760.0,120173.85815017678,118859.09539241275
1970-01-22 06:05:00,169506.0,112337.41339609136,112895.35134425935
1970-01-22 06:10:00,116895.0,130995.325141991,134642.04734901112
1970-01-22 06:15:00,131671.0,119844.03385020976,119450.43623677231
1970-01-22 06:20:00,109470.0,128205.84521571636,124546.20117930876
1970-01-22 06:25:00,125029.0,117357.48362764384,116653.8428625815
1970-01-22 06:30:00,108274.0,122215.32402651352,119365.21805123195
1970-01-22 06:35:00,113392.0,110228.42074588036,112544.53738524944
1970-01-22 06:40:00,105259.0,111489.80659928224,113857.07605170287
1970-01-22 06:45:00,112750.0,109547.54370547392,109414.41847103238
1970-01-22 06:50:00,160271.0,110513.1737674292,111165.6510139604
1970-01-22 06:55:00,144061.0,134683.679085871,127361.69824492277
1970-01-22 07:00:00,118600.0,132381.90381899753,127201.50977585743
1970-01-22 07:05:00,164128.0,122710.92244801798,119538.06851952049
1970-01-22 07:10:00,163118.0,136913.2529560377,138557.12350787257
1970-01-22 07:15:00,132181.0,137379.32099020053,138027.7465149009
1970-01-22 07:20:00,128510.0,129911.20193851306,127659.21819840891
1970-01-22 07:25:00,138783.0,130544.4751104371,128122.03604558387
1970-01-22 07:30:00,123202.0,131469.74745794391,128908.99187892766
1970-01-22 07:35:00,109793.0,125028.1846993514,122199.00473962631
