date,t,GRU
2015-07-03 22:15:00,137255.0,147483.84038483657
2015-07-03 22:30:00,124793.0,144349.44927973324
2015-07-03 22:45:00,119808.0,142159.18906132944
2015-07-03 23:00:00,119808.0,139211.09803746757
2015-07-03 23:15:00,118222.0,132405.70549778995
2015-07-03 23:30:00,116976.0,127563.75250198883
2015-07-03 23:45:00,118675.0,122859.22351635351
2015-07-04 00:00:00,116636.0,117438.96775297975
2015-07-04 00:15:00,116070.0,116234.16258383097
2015-07-04 00:30:00,112105.0,115635.49043469576
2015-07-04 00:45:00,112898.0,114651.43269548043
2015-07-04 01:00:00,112671.0,110997.65399587354
2015-07-04 01:15:00,114484.0,107035.3927844655
2015-07-04 01:30:00,118109.0,101445.85638946056
2015-07-04 01:45:00,112784.0,95500.27144583824
2015-07-04 02:00:00,110859.0,90535.61922108819
2015-07-04 02:15:00,115390.0,83602.06749807736
2015-07-04 02:30:00,116183.0,83602.06749807736
2015-07-04 02:45:00,113238.0,86940.82252917145
2015-07-04 03:00:00,115390.0,95489.85134659622
2015-07-04 03:15:00,115390.0,98166.08336605661
2015-07-04 03:30:00,115730.0,99462.53265724628
2015-07-04 03:45:00,115503.0,98728.59948989557
2015-07-04 04:00:00,119015.0,99143.6300462031
2015-07-04 04:15:00,115730.0,108070.54348236119
2015-07-04 04:30:00,109612.0,117254.87656928286
2015-07-04 04:45:00,114824.0,117254.87656928286
2015-07-04 05:00:00,108706.0,117254.87656928286
2015-07-04 05:15:00,110179.0,117254.87656928286
2015-07-04 05:30:00,112784.0,117254.87656928286
2015-07-04 05:45:00,106893.0,117254.87656928286
2015-07-04 06:00:00,107007.0,117254.87656928286
2015-07-04 06:15:00,100776.0,124060.26910896046
2015-07-04 06:30:00,101682.0,128902.22210476163
2015-07-04 06:45:00,102815.0,133606.75109039695
2015-07-04 07:00:00,101569.0,136073.15537705322
2015-07-04 07:15:00,97151.0,129267.7628373756
2015-07-04 07:30:00,96584.0,124425.80984157445
2015-07-04 07:45:00,93526.0,121466.54105503397
2015-07-04 08:00:00,93639.0,123588.58052874487
2015-07-04 08:15:00,94319.0,128778.17122937652
2015-07-04 08:30:00,94545.0,130466.01517047377
2015-07-04 08:45:00,92959.0,119931.98646648428
2015-07-04 09:00:00,91713.0,109777.7435411026
2015-07-04 09:15:00,90580.0,96072.33264680557
2015-07-04 09:30:00,89560.0,96072.33264680557
2015-07-04 09:45:00,90014.0,96072.33264680557
2015-07-04 10:00:00,90467.0,90441.26201076654
2015-07-04 10:15:00,89900.0,84023.38077482971
2015-07-04 10:30:00,90693.0,80812.07878644072
2015-07-04 10:45:00,91939.0,77265.70060243753
2015-07-04 11:00:00,91826.0,80293.32736467413
2015-07-04 11:15:00,90240.0,84802.69010009895
2015-07-04 11:30:00,91486.0,87701.1629880447
2015-07-04 11:45:00,92959.0,96195.5073644229
2015-07-04 12:00:00,92393.0,97462.7541292141
2015-07-04 12:15:00,92053.0,89593.86056036275
2015-07-04 12:30:00,92279.0,89593.86056036275
2015-07-04 12:45:00,94432.0,89593.86056036275
2015-07-04 13:00:00,95225.0,92547.71203708026
2015-07-04 13:15:00,97151.0,90798.6657295115
2015-07-04 13:30:00,94545.0,96997.92524917555
2015-07-04 13:45:00,97264.0,99621.81996125441
2015-07-04 14:00:00,96698.0,105945.73508147683
2015-07-04 14:15:00,102022.0,108412.13936813308
2015-07-04 14:30:00,103721.0,108412.13936813308
2015-07-04 14:45:00,104514.0,108412.13936813308
2015-07-04 15:00:00,104514.0,108412.13936813308
2015-07-04 15:15:00,107913.0,108412.13936813308
2015-07-04 15:30:00,104175.0,108412.13936813308
2015-07-04 15:45:00,111538.0,108412.13936813308
2015-07-04 16:00:00,115730.0,108412.13936813308
2015-07-04 16:15:00,114937.0,108412.13936813308
2015-07-04 16:30:00,118109.0,108439.03330350675
2015-07-04 16:45:00,116636.0,108456.95576704749
2015-07-04 17:00:00,117882.0,108513.2109762876
2015-07-04 17:15:00,111765.0,108408.51302188411
2015-07-04 17:30:00,115277.0,108408.51302188411
2015-07-04 17:45:00,116863.0,107034.06188615385
2015-07-04 18:00:00,112898.0,99901.38866172507
2015-07-04 18:15:00,114257.0,91383.18428062696
2015-07-04 18:30:00,113917.0,85045.64985299089
2015-07-04 18:45:00,116183.0,85045.64985299089
2015-07-04 19:00:00,119695.0,85045.64985299089
2015-07-04 19:15:00,118789.0,85045.64985299089
2015-07-04 19:30:00,114484.0,84991.86198224356
2015-07-04 19:45:00,114257.0,84956.01705516205
