date,t,GRU
1970-01-07 14:30:00,110327.0,174371.37338842987
1970-01-07 14:35:00,110610.0,108395.78187205142
1970-01-07 14:40:00,103273.0,112631.51560485594
1970-01-07 14:45:00,108833.0,120486.92486040968
1970-01-07 14:50:00,107062.0,114839.54201868465
1970-01-07 14:55:00,100296.0,114718.18442612771
1970-01-07 15:00:00,121707.0,113676.7650727573
1970-01-07 15:05:00,110869.0,107794.96701852557
1970-01-07 15:10:00,103273.0,107809.87614606447
1970-01-07 15:15:00,112132.0,101609.36303251136
1970-01-07 15:20:00,112800.0,99996.56388305941
1970-01-07 15:25:00,102010.0,104843.08199878885
1970-01-07 15:30:00,111057.0,115248.94483963965
1970-01-07 15:35:00,104104.0,113805.55404314178
1970-01-07 15:40:00,108488.0,113904.57138472621
1970-01-07 15:45:00,107575.0,108315.01141608413
1970-01-07 15:50:00,124636.0,111511.1793946142
1970-01-07 15:55:00,100335.0,126596.20697084014
1970-01-07 16:00:00,115940.0,126037.69940830766
1970-01-07 16:05:00,111844.0,126483.41992295884
1970-01-07 16:10:00,109280.0,106618.71017703606
1970-01-07 16:15:00,116891.0,107402.24408976354
1970-01-07 16:20:00,113702.0,97006.43631010236
1970-01-07 16:25:00,107427.0,107980.77089826854
1970-01-07 16:30:00,112382.0,98995.07497352253
1970-01-07 16:35:00,105962.0,96995.23260360006
1970-01-07 16:40:00,109568.0,105536.56240504395
1970-01-07 16:45:00,108925.0,112429.55209469855
1970-01-07 16:50:00,109933.0,92941.87268528885
1970-01-07 16:55:00,106356.0,89870.67834377165
1970-01-07 17:00:00,118922.0,88812.12158320368
1970-01-07 17:05:00,113275.0,109082.9327082877
1970-01-07 17:10:00,112147.0,103464.12262046502
1970-01-07 17:15:00,115805.0,97249.23338709703
1970-01-07 17:20:00,106774.0,105889.33943341256
1970-01-07 17:25:00,107671.0,105807.03385817309
1970-01-07 17:30:00,116406.0,105306.49768052396
1970-01-07 17:35:00,120573.0,112150.88938610935
1970-01-07 17:40:00,131055.0,118363.60899435618
1970-01-07 17:45:00,122811.0,138281.9486434953
1970-01-07 17:50:00,120660.0,130190.61153886816
1970-01-07 17:55:00,110615.0,161347.93636459808
1970-01-07 18:00:00,121620.0,162504.85150300234
